iter	Logloss
0	0.658535594
1	0.6430928967
2	0.6377195128
3	0.6275520576
4	0.6232097712
5	0.618189182
6	0.6127557518
7	0.6096246843
8	0.6064111242
9	0.6047372624
10	0.6010178579
11	0.5999415732
12	0.5979681998
13	0.5942716284
14	0.5936196066
15	0.5936195987
16	0.5906126327
17	0.5906115655
18	0.5901831419
19	0.5890853222
20	0.5859428842
21	0.5859428654
22	0.5849763032
23	0.5834119003
24	0.583031564
25	0.5822945233
26	0.5770262042
27	0.5747927441
28	0.5725001051
29	0.5723593637
30	0.5720257022
31	0.5696009026
32	0.5682309532
33	0.5682304798
34	0.5682304742
35	0.5679226805
36	0.5652525797
37	0.5648170122
38	0.5645203678
39	0.5631615216
40	0.5631614505
41	0.563161401
42	0.5628088627
43	0.5624060417
44	0.5621367567
45	0.5617315175
46	0.5614334507
47	0.5604439172
48	0.5601995837
49	0.5596235482
50	0.5596235455
51	0.5587488009
52	0.5574015954
53	0.5572173377
54	0.5572173327
55	0.5565276329
56	0.5560972619
57	0.556093388
58	0.5560309783
59	0.5559511759
60	0.5559511718
61	0.5551239267
62	0.5534423578
63	0.553370578
64	0.5500625646
65	0.549897301
66	0.548228074
67	0.5475706974
68	0.5475378308
69	0.5475378136
70	0.5454450368
71	0.5454449911
72	0.5437604774
73	0.5426053241
74	0.5422532067
75	0.5422420354
76	0.5418107132
77	0.5404366313
78	0.5399396645
79	0.5370215651
80	0.5355194887
81	0.5332100706
82	0.5318543826
83	0.5292506405
84	0.5270786314
85	0.5248539714
86	0.5226297264
87	0.5211431463
88	0.5189608317
89	0.517477491
90	0.5160337773
91	0.5145727358
92	0.5130096789
93	0.51130105
94	0.5099058174
95	0.5084127073
96	0.506322407
97	0.5055528192
98	0.5044573991
99	0.5032556734
100	0.5020746973
101	0.5013450268
102	0.5003746086
103	0.4999270012
104	0.4990596283
105	0.4983117343
106	0.4971272844
107	0.4962860856
108	0.4954903563
109	0.4948011898
110	0.4940674753
111	0.4933933521
112	0.4922938294
113	0.4918793501
114	0.4915639616
115	0.4912679919
116	0.4905370496
117	0.4899351524
118	0.4894072781
119	0.4888857398
120	0.4885243011
121	0.4878748682
122	0.4877398513
123	0.4870830199
124	0.4866154495
125	0.4862600969
126	0.4855558722
127	0.4851745914
128	0.4848314583
129	0.4846327191
130	0.4838775587
131	0.4835957385
132	0.482982051
133	0.4827994995
134	0.4819929526
135	0.4817903823
136	0.4816934063
137	0.4814126641
138	0.4804248238
139	0.4801195521
140	0.479752993
141	0.4792156507
142	0.4789490696
143	0.4786664677
144	0.4776128958
145	0.4774137518
146	0.4769230383
147	0.4764463012
148	0.4762065302
149	0.4757859881
150	0.4756302346
151	0.4752949685
152	0.47510072
153	0.4749998226
154	0.4748097197
155	0.4744790245
156	0.4742721771
157	0.4740550385
158	0.4739027301
159	0.4737072826
160	0.4734407515
161	0.4731469759
162	0.4728808889
163	0.4727160364
164	0.4725355937
165	0.4721582509
166	0.471665106
167	0.4712412289
168	0.4709426548
169	0.4707815532
170	0.4706626715
171	0.4705736406
172	0.4704639255
173	0.4703290756
174	0.4701913027
175	0.4698778495
176	0.4694496385
177	0.4691948005
178	0.4691012095
179	0.4689730876
180	0.4686034112
181	0.4684751243
182	0.4682112654
183	0.4677183294
184	0.4675488865
185	0.4672053734
186	0.467014242
187	0.4669259037
188	0.4662797729
189	0.4660687527
190	0.4659485017
191	0.4657377114
192	0.4655929024
193	0.465298082
194	0.4652577079
195	0.4651794092
196	0.4649083994
197	0.4648158645
198	0.4646401648
199	0.4645934298
200	0.4642268058
201	0.4637341511
202	0.4634597944
203	0.4629062679
204	0.4627373744
205	0.4626004061
206	0.4624323822
207	0.4621972182
208	0.4620918344
209	0.4619697665
210	0.4617567269
211	0.4611579992
212	0.461009945
213	0.4607605377
214	0.4605780805
215	0.4605042837
216	0.4601614029
217	0.4600969085
218	0.4599409418
219	0.4598235845
220	0.4597074554
221	0.4596338704
222	0.4593647513
223	0.4592595159
224	0.4591677036
225	0.4590180756
226	0.4588946957
227	0.4587464418
228	0.4585303655
229	0.4584314451
230	0.4583525441
231	0.458272688
232	0.4580064399
233	0.4577872446
234	0.4576948014
235	0.4576075755
236	0.4574355476
237	0.457330165
238	0.4571225343
239	0.4570793247
240	0.456773846
241	0.4566937505
242	0.4565475499
243	0.4562756521
244	0.4561524976
245	0.4560878117
246	0.4559834064
247	0.4555807734
248	0.4554520686
249	0.4552682728
250	0.4551060938
251	0.454945837
252	0.4546618746
253	0.4545501111
254	0.4541506442
255	0.4539208812
256	0.4537905735
257	0.4536757522
258	0.4534608847
259	0.4529819129
260	0.4528616156
261	0.4527005428
262	0.4524054341
263	0.452307306
264	0.4520738445
265	0.4520157295
266	0.4519603996
267	0.45188617
268	0.4517857371
269	0.4516810217
270	0.4515753167
271	0.4515478317
272	0.4514323535
273	0.4511479878
274	0.4510334036
275	0.4508698292
276	0.4506735916
277	0.4505187048
278	0.4504800678
279	0.4504054276
280	0.4503445472
281	0.4500784351
282	0.4499828739
283	0.4497751266
284	0.4496776224
285	0.4494781631
286	0.4493919866
287	0.4493561661
288	0.448795533
289	0.4487598036
290	0.4486482045
291	0.448464589
292	0.4483418825
293	0.4481500907
294	0.4480906187
295	0.4479917886
296	0.4479122187
297	0.4478409033
298	0.4477336382
299	0.4476949975
