iter	Passed	Remaining
0	155	54247
1	299	52125
2	470	54370
3	571	49427
4	726	50113
5	862	49426
6	1016	49808
7	1155	49385
8	1294	49057
9	1429	48593
10	1580	48722
11	1651	46510
12	1699	44057
13	1841	44201
14	1890	42211
15	1982	41394
16	2127	41665
17	2205	40677
18	2246	39142
19	2353	38826
20	2472	38728
21	2591	38641
22	2727	38784
23	2856	38796
24	2974	38668
25	3016	37591
26	3149	37673
27	3306	38019
28	3425	37920
29	3523	37587
30	3669	37757
31	3788	37645
32	3869	37173
33	3934	36567
34	4053	36479
35	4175	36419
36	4306	36434
37	4448	36525
38	4570	36449
39	4687	36328
40	4819	36319
41	4945	36266
42	5086	36313
43	5218	36294
44	5344	36222
45	5392	35635
46	5503	35477
47	5630	35427
48	5774	35472
49	5902	35417
50	6034	35381
51	6165	35334
52	6297	35290
53	6410	35136
54	6548	35123
55	6704	35197
56	6832	35119
57	6987	35179
58	7132	35177
59	7192	34765
60	7339	34774
61	7430	34518
62	7567	34472
63	7612	34019
64	7727	33882
65	7877	33898
66	7925	33474
67	8061	33432
68	8124	33087
69	8252	33011
70	8372	32899
71	8456	32649
72	8597	32624
73	8732	32571
74	8861	32491
75	8999	32446
76	9201	32621
77	9426	32873
78	9610	32968
79	9772	32983
80	9977	33135
81	10158	33199
82	10312	33173
83	10537	33368
84	10745	33500
85	10893	33439
86	11058	33429
87	11243	33475
88	11401	33435
89	11572	33432
90	11777	33521
91	11950	33514
92	12131	33523
93	12291	33474
94	12452	33423
95	12647	33462
96	12809	33409
97	12962	33331
98	13175	33404
99	13358	33395
100	13493	33266
101	13656	33204
102	13807	33110
103	13926	32940
104	14123	32954
105	14308	32936
106	14504	32940
107	14705	32950
108	14902	32948
109	15071	32882
110	15230	32794
111	15411	32750
112	15595	32708
113	15785	32679
114	15950	32594
115	16120	32518
116	16286	32433
117	16440	32323
118	16597	32218
119	16774	32150
120	16930	32042
121	17117	31990
122	17331	31986
123	17483	31864
124	17653	31776
125	17827	31693
126	18002	31610
127	18197	31560
128	18365	31464
129	18545	31384
130	18717	31290
131	18866	31157
132	19044	31072
133	19242	31018
134	19429	30943
135	19622	30876
136	19788	30766
137	19965	30672
138	20133	30562
139	20303	30455
140	20490	30372
141	20662	30265
142	20856	30190
143	21010	30056
144	21179	29943
145	21357	29841
146	21534	29737
147	21706	29626
148	21880	29517
149	22064	29418
150	22217	29280
151	22383	29158
152	22558	29045
153	22728	28927
154	22893	28801
155	23060	28678
156	23257	28590
157	23402	28438
158	23580	28326
159	23738	28189
160	23899	28055
161	24045	27904
162	24195	27758
163	24380	27651
164	24540	27514
165	24689	27366
166	24829	27208
167	24968	27048
168	25124	26908
169	25257	26743
170	25401	26590
171	25553	26445
172	25705	26299
173	25844	26141
174	25979	25979
175	26105	25809
176	26261	25667
177	26393	25503
178	26530	25345
179	26665	25184
180	26825	25047
181	26999	24922
182	27143	24769
183	27300	24629
184	27441	24474
185	27580	24318
186	27704	24148
187	27833	23984
188	27978	23833
189	28125	23684
190	28300	23558
191	28448	23411
192	28584	23252
193	28727	23100
194	28862	22942
195	29007	22791
196	29146	22636
197	29325	22512
198	29465	22358
199	29611	22208
200	29746	22051
201	29909	21913
202	30059	21767
203	30195	21610
204	30313	21441
205	30469	21298
206	30613	21148
207	30758	20998
208	30896	20843
209	31046	20697
210	31169	20533
211	31306	20378
212	31456	20232
213	31584	20072
214	31727	19921
215	31874	19773
216	32017	19623
217	32151	19467
218	32283	19311
219	32432	19164
220	32573	19013
221	32731	18872
222	32870	18719
223	33058	18595
224	33234	18463
225	33381	18315
226	33508	18156
227	33648	18005
228	33828	17874
229	33992	17735
230	34162	17599
231	34320	17455
232	34471	17309
233	34619	17162
234	34771	17015
235	34982	16898
236	35145	16757
237	35296	16610
238	35480	16478
239	35622	16326
240	35757	16172
241	35895	16019
242	36043	15871
243	36183	15719
244	36316	15564
245	36464	15416
246	36622	15271
247	36777	15126
248	36926	14978
249	37058	14823
250	37190	14668
251	37332	14518
252	37467	14364
253	37579	14203
254	37708	14048
255	37870	13905
256	38024	13759
257	38170	13611
258	38314	13461
259	38451	13310
260	38586	13157
261	38734	13009
262	38877	12860
263	39029	12714
264	39167	12563
265	39313	12414
266	39463	12267
267	39595	12115
268	39734	11964
269	39882	11817
270	40044	11673
271	40168	11518
272	40329	11375
273	40476	11227
274	40608	11075
275	40742	10923
276	40878	10773
277	41010	10621
278	41145	10470
279	41275	10318
280	41421	10171
281	41570	10024
282	41709	9874
283	41842	9723
284	41993	9577
285	42138	9429
286	42280	9281
287	42423	9132
288	42550	8981
289	42704	8835
290	42878	8693
291	43022	8545
292	43166	8397
293	43300	8247
294	43443	8099
295	43597	7953
296	43786	7813
297	43939	7667
298	44106	7523
299	44253	7375
300	44383	7225
301	44515	7075
302	44653	6926
303	44796	6778
304	44933	6629
305	45077	6481
306	45233	6335
307	45384	6188
308	45529	6041
309	45666	5892
310	45798	5743
311	45935	5594
312	46096	5449
313	46273	5305
314	46422	5158
315	46581	5011
316	46721	4863
317	46860	4715
318	47001	4567
319	47143	4419
320	47294	4272
321	47429	4124
322	47573	3976
323	47740	3831
324	47887	3683
325	48008	3534
326	48169	3388
327	48309	3240
328	48453	3092
329	48614	2946
330	48794	2800
331	48955	2654
332	49088	2506
333	49233	2358
334	49382	2211
335	49512	2063
336	49676	1916
337	49822	1768
338	49982	1621
339	50135	1474
340	50294	1327
341	50430	1179
342	50598	1032
343	50742	885
344	50864	737
345	51011	589
346	51138	442
347	51271	294
348	51424	147
349	51565	0
